,AirlineName,CabinType,DateFlown,DatePub,EntertainmentRating,FoodRating,GroundServiceRating,OriginCountry,OverallScore,Recommended,Review,SeatComfortRating,ServiceRating,Slug,Title,TravelType,TripVerified,ValueRating,WifiRating,unique_id,Aircraft Manufacturer,Route_Departure,Route_Destination,Review_score_nltk,Review_score_flair,Review_score
105709,Swoop,Economy Class,2022-12-31,2022-12-26,0,0,1,Canada,1.0,no,"Swoop airline gave me no options during a critical time when we were canceled on December 23rd. There is no customer service and no options for my family to fly to Puerto Vallarta. In their website they say that they will put you in a flight from WestJet if there is no availability but they canceled two flights and expected people to find a space in an already booked plane for later days. With a family of 4 thats not possible, is hard to find a spot for all. At the end i ended up losing all my reservations in Puerto Vallarta because a poorly managed airline.",0,0,swoop,a poorly managed airline,Family Leisure,Trip Verified,1,0,0b211217-5969-41eb-b789-53f1a3cf3de0,Boeing,Abbotsford,Puerto Vallarta,0,0,0
105710,Swoop,Economy Class,2022-12-31,2022-12-25,1,1,1,Canada,1.0,no,"Booked the flight 2 months in advance then out of the blue canceled and changed to a different day. Trying to change it was impossible let alone cancel it. When we get after we got delayed for 2 hours and then once we got there our luggage was missing.  We reported to get it back but it is apparently still in Canada even though we are in Mexico, not to mention with this we lost our connection flight because of this, didn't even offer a hotel or food, just $100 dolloars for the lost luggage that used need to wait 48 to even use been. Has been an absolute nightmare and don't recommend. You are wasting more money then you are saving with them and you ONLY buy the seat nothing else.",1,1,swoop,been an absolute nightmare,Family Leisure,Trip Verified,1,1,c131862b-60dd-4e4f-8696-033012f5853d,Airbus,Toronto,Cancun,0,0,0
105711,Swoop,Economy Class,2022-12-31,2022-12-24,1,1,1,Canada,1.0,no,"The booking for travel on the 23rd was made as far back as October. The weather became very bad, and after numerous re-scheduling, the flight was finally fully cancelled for the 23rd of Dec. I had no choice but to inform my family who were waiting for me at the Edmonton airport that I was not travelling to Alberta this year. They then left the Edmonton area and drove off to Red Deer, Alberta about two hours away from Edmonton to celebrate Christmas. Swoop Airlines send me an email on the 24th indicating that they had rebooked me on one of their flights departing Abbotsford on the 24th. I had no way of travelling from Edmonton to Red Deer, so it made no sense for me to fly to Edmonton on the 24th. Apparently as it turns out, Swoop gets to keep my money, since this was a weather related cancellation and they offered me a flight a day after the day of my planned travel. I have flown with Swoop on numerous other previous occasions. It was tolerable for a short one hour flights. Generally pretty awful company and cabin habits of the cabin crews leave a great deal to be desired. Plus this policy of The hell with your money, we offered you a flight the next day, if you didn't take it, that's not our problem, so we are keeping your money. Naturally I won't be getting my $577.00 back. So that 's a huge loss. But I don't ever have to travel with this company. There are other options. Avoid this company if you can. I'd give it zero stars across the board if I had the option.",1,1,swoop,Avoid this company if you can,Solo Leisure,Not Verified,1,1,9f73f033-a142-40a0-b6a7-b51cddaaac2c,Boeing,Abbotsford,Edmonton,0,0,0
105712,Swoop,Economy Class,2022-12-31,2022-12-23,0,0,1,Canada,1.0,no,"Swoop is the most unreliable airline you could find. Shame on West jet. I booked a trip to Montego Bay in March 2022. The trip was supposed to be 5 days, Swoop changed the flight to 7 days then I had to rebook with West Jet and pay more money for the 5 days that I wanted. I booked a family vacation to Alberta in July 2022. My flight was cancelled once again. I was placed on a West Jet flight 2 days later. I lost money on car rental and hotel with no compensation from Swoop. I once again got ditched by Swoop yesterday December 22nd 2022. My family trip was cancelled, I don't know the reason because the weather was fine, many other airlines was going out of Pearson, my relatives prepared and payed for transportation. Swoop will spoil your vacation and your plans. Do not use this airline, they will disappoint you. Never again, I have learned my lesson the hard way 3 times in a row. Shame on you for always ditching your customers.",3,1,swoop,the most unreliable airline,Family Leisure,Trip Verified,1,0,2452ecde-4206-4419-ba84-9d69bdc00131,Airbus,Brampton,Brampton via Brampton,0,0,0
105713,Swoop,Economy Class,2022-12-31,2022-12-23,0,0,0,Canada,1.0,no,"I have been nervously watching my upcoming Swoop flight from Toronto to Kelowna. I just looked at Toronto departures, and I found cancelled flight after cancelled flight. And it was around the 3rd flight that I realized all the flights I had seen were Swoop. So I searched Swoop specifically - it is currently 1:15 am on Dec 23 and Swoop cancelled every single one of their flights out of Toronto today. Every one. Including the very late flights, flights that don't leave for another 22 hours. Flair? One cancellation. WestJet? A few out of many. Swoop is the only airline that cancelled all their flights. Swoop is not a reliable airline.",0,0,swoop,cancelled all their flights,Solo Leisure,Trip Verified,1,0,c9d6dc53-a33c-484e-be6f-4ac619045536,Boeing,Kelowna,Toronto,0,0,0
105714,Swoop,Economy Class,2022-12-31,2022-12-20,0,0,1,Canada,1.0,no,"The WORST airline and customer service. I had a flight booked for Thursday, found out on Sunday a family member had passed away. I wanted to try and move up my flight so I try calling the customer service line, they aren't taking calls... annoying but fine. I am told the way I need to speak with an agent is through Facebook... also frustrating but fine. I message the agent and explain the situation. When they respond there is no ""sorry to hear"" or sympathy regarding my situation just ""there are no other flights available"". When I ask if I can be added to a waitlist or standby they tell me no, that I would need to just keep checking in through Facebook...what kind of service is that? Extremely frustrating. I ask if I can look at changing or cancelling my flights they tell me I am going to need to pay a large fee. I ask again if there are exceptions as I, again, had a death in the family. Once again the agent responds with the same robotic response. I then air my frustrations, letting them know that I am disappointed in their lack of empathy and customer service. Not even a ""sorry to hear"" or ""sorry for your loss but.."". The agent then responds and basically tells me that because I paid for a ""budget"" (I paid almost $950 for my round trip from Toronto to Kelowna - which is absurd) I don't get the same ""perks"" that come with a full price flight. I took that as they don't offer compassion or just common customer service because I didn't pay for it. DISGUSTED in this airline, as someone who flies 8+ times a year and books for many family members I will NEVER book Swoop again.",1,1,swoop,lack of empathy and customer service,Solo Leisure,Not Verified,1,0,abfc1871-d46c-422b-81e4-5de99a12158c,Airbus,Toronto,Kelowna,0,0,0
105715,Swoop,Economy Class,2022-12-31,2022-12-19,0,0,1,Canada,1.0,no,"By far the worst airline I have ever used. The flight was delayed by over an hour to debag someone's luggage, which would normally be fine but then they must have left half the planes luggage on the tarmac. There was no one at the airport to even tell us that the luggage was not on the plane and it has been 4 days and no one will even answer as to where the luggage is or when it will be received. There is no one to reach by phone and they are not responding to social media msgs either.  Do not check your luggage. The savings is not worth the loss of your belongings if they are more expensive than the extra $300 off the cost of the flight",2,2,swoop,worst airline I have ever used,Couple Leisure,Trip Verified,1,0,f223e091-c8f3-4d11-a441-65c548b97e62,Airbus,Toronto,Puerto Vallarta,0,0,0
105716,Swoop,Economy Class,2022-12-31,2022-12-16,0,1,1,Canada,2.0,no,"Most dysfunctional airline to date. Pre check in not functional leading to long lines and poor support at airport. Over 90 mins to checkin to airline alone. Dozens of people left without service or luggage support No available customer service or consideration throughout booking process. Flights delayed 5 times, every delay notice coming 20min after scheduled departure. Not worth any discount as once fees for luggage added up, might as well have gone with one of the big three.",2,2,swoop,Most dysfunctional airline,Couple Leisure,Trip Verified,1,0,de21a56a-45ed-41e4-9f77-923d2c1ceddc,Airbus,Toronto,Las Vegas,0,0,0
105718,Swoop,Economy Class,2022-12-31,2022-12-16,0,0,1,Canada,1.0,no,"I've never experienced such a terrible airline before, and I've traveled to 40 countries. We were supposed to fly out of Hamilton today, and the flight was delayed because a staff member was late (delay due to ""crew resources""). Finally boarded, only a few hours late. We were taxiing the runway when they decided the staff were going to time out and took us back to the gate. Had us go collect our luggage, kept us waiting in arrivals for 1-2 hours with minimal updates and mixed messages (just airport staff saying there may or may not be a flight), and no way to get food. Then they got our hopes up and had us recheck our bags and go through security yet again, to finally have the flight cancelled. All the staff said they worked for the airport and not Swoop, so they couldn't help us with anything but vague answers, and no ability to help with bookings. Basically told to wait for an email that would give us details. Swoop customer service phone line closes at 430 so of course no help there, and their messenger bot says it can take 72 hours to get a human. If they had just cancelled it instead of faffing about for six hours it might have been a less miserable experience. The next available flight we could rebook was in two days, so we got a refund and will fly another airline. I definitely won't fly Swoop again.",1,1,swoop,such a terrible airline,Couple Leisure,Not Verified,1,0,d7567ad7-615c-4de8-afdc-97f6496b868e,Airbus,Hamilton,Sanford,0,0,0
105719,Swoop,Economy Class,2022-12-31,2022-12-10,0,0,0,Canada,1.0,no,"Our Agency booked the whole package to Las Vegas flying with Swoop. Our flight was Dec 10 to Dec 15. When we were about to check in on Dec 9 on SWOOP website. It says our flight has changed to Dec 12 to 14. We already had everything booked and paid for including our hotel and activities. Swoop just changed our flights without any notice! Dec 12-14? So they expect us to fly there and come back in one day? How ridiculous is that? When we tried to contact SWOOP by phone, there's no one there to pick up the phone. There's no email to contact. The only way is through Messenger and after waited for a long time and repeated myself 5 times, they finally got back to me and told me to just cancel the flight. Now I have to cancel everything and some of the activities have no refund. And hotel cancellation has to be at least 48 hours or no refund. Swoop totally screwed us over. Ruined our trip and cost us a lot of money!",0,0,swoop,cost us a lot of money,Couple Leisure,Not Verified,1,0,3cfbe195-ee0a-4033-9b80-a7b90bd98c77,Airbus,Toronto,Las Vegas,0,0,0
105720,Swoop,Economy Class,2022-12-31,2022-12-03,1,1,1,Canada,1.0,no,"We paid extra to upgrade to seats with extra leg room. When we boarded, our seats were regular. On both departing and returning flights. On the return flight, we asked the agent at check in to make sure our seats were extra leg room. She confirmed they were. They were not. Contacted swoop and they refused to refund the upgrade fee. They also rescheduled both our departing and returning flights, shaving an entire day off of our vacation. They don’t even give you water on these flights. Just pay the $50 extra to fly with the regular airline.",1,2,swoop,refused to refund the upgrade fee,Solo Leisure,Trip Verified,2,0,636d3a2e-3369-497b-aaa8-fe0c16107881,Boeing,Toronto,Las Vegas,0,0,0
105721,Swoop,Economy Class,2022-12-31,2022-12-02,1,1,1,Canada,1.0,no,"Well, I was warned, yes believe the bad reviews. Our original flight out of Abbotsford was supposed to be in after nine then they moved it to 1:05 PM. I am literally sitting here now. They’ve now just delayed it again. They said because they can’t find the de-icer truck or the driver to drive it, nice, these people have basically ruined my vacation I already had to change airlines on the way home, because Swoop could meet their criteria to pick us up. Do yourself a favour spend the extra money and go WestJet and/or any other airline do not I repeat, do not let the cheapness of this airline fool you they will ruin your vacation.",1,1,swoop,yes believe the bad reviews,Couple Leisure,Trip Verified,1,1,d1bcb310-aaf6-4430-829c-2111b8fd7812,Airbus,Abbotsford,Puerto Vallarta ,0,0,0
105722,Swoop,Economy Class,2022-12-31,2022-12-01,1,1,1,Canada,1.0,no,"Do not fly Swoop! I booked a flight home for the holidays months ago because the price was great. My flight was cancelled 10 hours before the flight ""due to weather"" (it snowed in Vancouver) which is fine but the flight was rescheduled for the following day at 4pm! I had another (more expensive) flight to catch at 10am in Toronto so I had no other choice but to fly with another airline. Swoop is not available via phone and their chat service is USELESS. They will not give me anything but robotic answers. I understand the weather is out of their control but since I wasn't on the flight period I'd hope they'd give me a future credit or at least refund my $64 bag that wasn't on the plane. Do better Swoop.",1,1,swoop,their chat service is USELESS,Solo Leisure,Not Verified,1,1,6de6e82f-8783-47ec-b6ac-08981d775972,Airbus,Vancouver,Toronto,1,0,0
105728,Swoop,Economy Class,2022-12-31,2022-11-27,0,0,1,Canada,1.0,no,"My experience with this airline has not been good. First off they cancelled my flight but agreed to move the date to another day and lucky for me I was flexible. I paid for my seats both ways and when I checked in the seat I paid for was correct and was listed on my boarding pass 2F. When I got to the gate and I went to board she said that was not my seat and they had no more window seats. I’m like how can that be, she had no answer. I was super angry because why pay for a seat when they just give it away.",2,2,swoop,why pay for a seat,Couple Leisure,Trip Verified,1,0,1b8a1ef7-77c3-4c46-8b0f-8cc75b8c2dea,Boeing,Edmonton,Ottawa,1,0,0
105729,Swoop,Economy Class,2022-12-31,2022-11-27,0,1,1,Canada,1.0,no,"Worst airline I have ever flown with. Do not expect anything at any time along the way. If you fly with them, do your research. I thought I did. Ticket agents were terrible. Flight attendants were sub standard. I could list a dozen things along the journey and back. Some of which were beyond there control but do not expect any customer service. Its just not there. The indifference was what really got me in the end.",1,2,swoop,Flight attendants were sub standard,Couple Leisure,Not Verified,1,0,5669dbf4-5b03-4569-9b69-be41a877e38d,Boeing,Victoria,Edmonton via Las Vegas,0,0,0
105730,Swoop,Economy Class,2022-12-31,2022-11-26,1,1,1,Canada,1.0,no,"Do not waste your money flying this airline. The savings in the fare is not worth your vacation. The check-in counter was busy when we arrived and by the time it was our turn, it was 57 minutes before the flight and they refused to accept our prepaid luggage. Had to fly with nothing, no help, no alternate options, no empathy and no refund for prepaid luggage. Disgusting way to treat customers. Customer service is a bunch of robots who copy/paste responses. They refuse to call out, saying they don’t have capabilities. I have never been treated so poorly and want anyone out there to avoid this stress. Do not fly with Swoop!",1,1,swoop,Disgusting way to treat customers,Family Leisure,Not Verified,1,1,5ad92ef4-45bb-4002-a621-5d309d4fdc2f,Airbus,Hamilton,Orlando,0,0,0
105731,Swoop,Economy Class,2022-12-31,2022-11-25,0,0,2,Canada,1.0,no,"It was really a bad experience on the first and last flight with Swoop. On the flight date, there was confusion, even among Swoop representatives on where to go for US flight Swoop, when they are going to open accepting passengers' documents/tickets, and then it was a long wait to figure it out. At first, the Swoop representative couldn't find my seat, even though she saw my name, and then she asked me to book again at the booth and I did. But then because of some new regulations at the border for some passenger's documents, even when a CBP officer came with me to the Swoop booth and advised them and they took notes and they made sure I will get the refund but when I sent my claim, they replied me they are not going to refund me, even with those notes and CBP advise. I didn't even have a chance to do the flight to write a review for that, and I am not sure how that would be!",0,0,swoop,It was really a bad experience,Business,Trip Verified,1,0,988ae45c-608f-4cff-a3a5-982862e25218,Boeing,Toronto,Las Vegas,1,0,0
105732,Swoop,Economy Class,2022-12-31,2022-11-25,0,5,5,Canada,10.0,yes,"Jason was our lead attendant tonight and he was such a wonderful leader! I enjoyed his positive energy and the whole team made a tough trip much more positive. Thank you again to Jason, Gabbi, Warne, and Heidi from flight #561!",5,5,swoop,made a tough trip much more positive,Solo Leisure,Trip Verified,5,0,192c1015-d901-473a-8d6f-04872e4baeb9,Boeing,Halifax,Ottawa,1,1,1
105738,Swoop,Economy Class,2022-12-31,2022-11-18,0,0,5,Canada,8.0,yes,"I came to Abbotsford due to family emergency and booked my ticket last minute, my friend scared me that these flights cancel and lose the luggage too but my experience with them was great. The airport staff was very polite and understanding. And everything went great. Will definitely recommend them to friends and family.",5,5,swoop,Will definitely recommend them,Solo Leisure,Trip Verified,5,0,47bc3e5e-65cc-4519-bb82-5247c9b19f50,Airbus,Winnipeg,Abbotsford,1,1,1
105739,Swoop,Economy Class,2022-12-31,2022-11-15,0,0,1,Canada,1.0,no,"I have chosen Swoop 4xs and of those times, 2 have been cancelled/delayed until the next day. It is a 50/50 risk of cancellation with Swoop. Despite there claim of a live rep you can call 24/7, there is no live customer service — it is a recording that directs you to their social media. Messages can take up to 3 weeks for a response (despite their claim to respond within 72 hours). Bookings must be changed within 24hrs if you need a refund, but they do not respond within that time frame. With their constant time changes and cancellations, Swoop takes advantage of customers. I'm done losing my time and money to them.",2,2,swoop,done losing my time and money to them,Couple Leisure,Not Verified,1,0,3b408584-111c-4aa2-bd90-a82e85180efb,Boeing,Toronto,Calgary,0,0,0
105740,Swoop,Economy Class,2022-12-31,2022-11-14,1,1,3,Canada,1.0,no,"These clowns don't know what they are doing. Typically you board from the back of the plane forward after doing business and/or first class. We sat in zone 1 which is more to the front of the plane. Due to sitting in an aisle seat I was hit by almost every person walking by including the flight attendants. On top of that I had my back pack removed from the overhead compartment to make room for someone's else's. In all my years of flying if the over head compartments are full they normally take the carrying on luggage and put it with the checked bags. In this particular instance we had elderly people with back problems having their backpacks removed from over head compartments to have their backpacks stored under the seat in front of them. This poses as a problem for people with back and knee problems as you feel like a sardine in these already crammed planes. These people are apparently young and inexperienced and use a major lesson in customer service as it is us, the paying customer, that is the reason why they have jobs!",1,1,swoop,don't know what they are doing,Couple Leisure,Not Verified,1,1,e3d0ea09-253c-43d8-bb59-62a0a3b166b4,Airbus,Las Vegas,Toronto,0,0,0
105741,Swoop,Economy Class,2022-12-31,2022-11-14,0,0,1,UnitedStates,1.0,no,"Do not fly on this airline. I know that no airline is perfect and that there are tons of things that can go wrong from a logistical standpoint, but how the company handles this is important. Swoop could not care less about customer service. There is no working phone number to speak with a CSR. Emails are unanswered. Tweets are promised a 72-hour turnaround time. The FB Messenger bot is useless. Do not fly on this airline. We were actually booked on another airline LAS - YYZ but wanted to go home earlier. Swoop had an early afternoon flight (as did AC and WestJet, but we wouldn't be able to sit together). We booked it with extras - checked & cabin baggage, priority boarding. When the agent took our bags only then were we advised that the flight was delayed several hours. Although it was about 2 hours before the flight was originally scheduled to depart Vegas, the inbound aircraft had not even yet left Toronto. The departure was ultimately put off to 5:30 pm and we were each given a $10 meal voucher for our trouble. My originally booked flight, which I had to cancel, departed on time at 5:05. (Flair). When the aircraft arrived at the gate, the boarding process began with our zone 1. We passed through boarding pass scanning, and were met with a long line of people waiting to board in the jetway. We were towards the back of the line, near the entrance to the jetway. We waited there about 15 - 20 minutes before some people in hi-vis jackets passed by us and then quickly came out to abruptly tell us the flight was cancelled. We immediately re-booked on the later, red-eye AC Rouge flight 1704 (which was excellent and on-time, by the way). We had to be in Buffalo by 11am on Saturday. That red-eye was our last chance to meet that deadline. Swoop later emailed us with a link to book an overnight room and rebooked our flight to the next morning, Saturday Nov. 12, at 10am. It ultimately left late, at 11:50 am, arriving in Toronto at 6:30 pm, about 24 hours later than originally scheduled. Do not fly this airline. Literally choose anything else- rent a car one way if necessary. Since we had only just bought our ticket that same morning, I certainly assumed that getting a refund would not be a problem. It has now been well over 72 hours with no communication whatsoever from the airline in response to our many inquiries, and no real way to reach them. You are better off walking. Although Swoop said that the delay was somehow due to customs & immigration delays (even though the passengers on the inbound flight YYZ - LAS would have all precleared US customs in Toronto), I suspect that the real issue was that the delay had taken the crew out of its allowed time for service, and they had a mandatory rest period before the flight could resume on its way back to Toronto. Why do I think so? Because I sure didn't see any new crew show up and I was at that gate literally from 11:30 am - 5:30pm. So, they'll try to avoid having to make refunds by lying about the reason for both delays - inbound to LAS and outbound from LAS.",1,1,swoop,could not care less about customer service,Family Leisure,Not Verified,1,0,71b1547f-b001-4597-8f43-1b65cff8a7cf,Boeing,Las Vegas,Toronto,0,0,0
105746,Swoop,Premium Economy,2022-12-31,2022-11-13,1,1,1,Canada,1.0,no,"I had reserved a ticket with Swoop in advance but the flight was canceled for ""unforeseen safety reasons"". Not fun but not the end of the world either. However, they asked me to chose my seat again for the next flight which I did and got a seat with extra leg space. So I get on my flight and low and behold, they give me a regular seat. Now that in itself is not a big deal, but definitely not fun for a 6'3""ft guy who paid extra money for that extra space. The air attendant told me that they had to change plane last minute and couldn't give me a seat like that but that Swoop will refund me. Ultimately, I've tried to get a refund to no avail. I've tried emailing, calling and Facebook messenger and still can't get a good answer. Horrible customer experience and they will charge you for things you don't even get. Save your money and go on a reputable airline. To summarize, I was delayed 3 days on my trip, charged a seat with extra leg room and ultimately not able to reach a human by phone or get compensation or a refund. I will post this horrible experience everywhere I can write a review.",1,2,swoop,Horrible customer experience,Solo Leisure,Trip Verified,1,1,09315f44-df3e-46ea-8839-89a38cfaee15,Airbus,Ottawa,Edmonton,0,0,0
105747,Swoop,Economy Class,2022-12-31,2022-11-11,0,0,1,Canada,1.0,no,"Flight has been delayed several times. It is supposed to take off at 11. After 3 postponed departures now it is scheduled for 5.30 Hope they won't cancel it on me. What a nightmare. I am still stuck at Las Vegas Airport. Earlier, 2 flights have left for Toronto already. I made a mistake choosing Swoop. A word to the wise: Do not - repeat- do not fly this airline. Anger, frustration, missed flights will result.",1,1,swoop,"Anger, frustration, missed flights",Couple Leisure,Trip Verified,1,1,3fd0e6dc-eb64-4ae6-acdd-a4bac29488f2,Boeing,Las vegas,Toronto,0,0,0
105748,Swoop,Premium Economy,2022-12-31,2022-11-10,1,1,1,Canada,1.0,no,"This company has the worst customer service - I want to change a name on a flight, simply remove a middle name so that the ticket matches the passport. It has taken me 3 weeks of trying to contact customer service via their messenger platform. The phone number provided simply states we can't take your call and visit xxxx online for Bot assistance, first attempt I provided flight info, booking confirmation # and the request, the rude reply was unbelievable. The cost of the flight after all the hidden fees, turns out to be equal to or more than AC or Air Transat. Hire staff or truly make this a discount airline instead of roping customers in and then hidden fees! Seriously $15.00 charge to speak to someone! Just remove the name so the ticket matches the passport (btw the name was auto populated on their booking site from the previous name booked. I have never written a negative review about anything in my 65 years, this is unacceptable and I will never fly with this airline again.",1,1,swoop,This company has the worst customer service,Solo Leisure,Not Verified,1,1,62d4e925-3167-4f75-8f86-aff453e5bcc9,Airbus,Toronto,Punta Cana,0,0,0
105749,Swoop,Economy Class,2022-12-31,2022-11-07,2,3,2,Canada,3.0,no,"I have a complaint to report: The reason for writing is to expose my discomfort from a very bad experience I had in the service in this airline. I have traveled for work reasons on June 9, 2022 from Toronto to Halifax. and when I got to the area where the staff checks the luggage a young guy told me that the luggage of my suitcase that I had paid for was fine. But in the carry-on bag that I had with me I had a 15.6-inch laptop, he made me pay $67.80 for it, that’s more than the cost of my baggage of several kilos of weight. you should have more control of your staff. That’s why I’m leaving my review here and I believe that those people like me will never again travel on your airline including that I already asked my family and friends because these experiences are discussed at family gatherings and social. It is very uncomfortable and annoying that your review staff does this with consumers because you owe it to the consumer and with these actions many people move away and avoid traveling on your airline again. Then I traveled 3 more times between Halifax and Toronto on other airlines and none of them even checked my hand luggage, much less charged me a cost for said bag. if it passes the formal airport review it’s fine, but we are NOT charged extra by travel agencies. Guide your staff better or renew them constantly because it seems that they are NOT happy doing their job. R.B.",2,3,swoop,none of them checked my hand luggage,Solo Leisure,Trip Verified,3,2,1095f74f-b7c0-495b-9ea4-5724d317928c,Boeing,Toronto,Halifax ,0,0,0
105755,Swoop,Economy Class,2022-12-31,2022-11-06,1,0,1,Canada,1.0,no,"Swoop is the worst airline I have ever flown with. Never Again. We booked the flight, weeks in advance and the flight got cancelled twice. The second time was less than 24 hours from check-in time. When we did check in for the second time, no qr code boarding pass was emailed to us and we couldn't access it through their poorly made website. Our friends flight also got cancelled and were asked to rebook, however after checking in their luggage, their flight got canceled 30 mins before take off.  They rebooked their flights for the next morning when the concert is tonight and I highly doubt that they will ever be reimbursed.  The flight we are on has empty seats even though my friends were told that the plane was full. After talking to the flight attendant asking why they couldn't board, apparently it was too late but they had already checked in and made it past security. Not impressed and never again.",2,1,swoop,Not impressed and never again,Family Leisure,Trip Verified,1,1,1998a0a9-4d05-4fcd-aa63-d5672a9fba18,Embraer,Edmonton,Hamilton,0,0,0
105756,Swoop,Economy Class,2022-12-31,2022-11-02,1,2,1,Canada,1.0,no,This by far was the worst experience I've ever had on a airline. Our plane from Edmonton to Toronto was 135 min late. The lady couldn't do a tag for our luggage to get switched at the swoop desk. This is new to me same airline multiple places should be able to switch luggage on a connecting flight. We landed I had less than 1 hour to switch luggage because Edmonton was unable to. The swoop check in bag person just looked at me said nothing I can do. So I guess it's acceptable as a airline to be 135 min late. Half the people on our plane missed flight to Vegas. I guess I'll have no clothes in Jamaica for a couple day's and that's all good for the people who work at swoop. Save yourself the hassle not the money don't fly swoop first experience was Terrible. Zero customer service zero help people just looking at me and making me feel stupid.,1,1,swoop,by far was the worst experience,Family Leisure,Trip Verified,1,1,80346082-b092-4728-999e-4c277e76423b,Airbus,Edmonton,Toronto,0,0,0
105757,Swoop,Economy Class,2022-12-31,2022-10-31,0,0,3,Ukraine,7.0,yes,"On-line check-in failed. Had to check in at airport. Long line at check in, which is typical for a LCC. Seat pitch left me with one inch of legroom, which was more than I expected. Seats did not tilt. Flight was delayed by almost an hour. After take off many people ran to the front of the plane. Was not expecting this. All seats had in-seat power, which was nice and unexpected.",5,4,swoop,legroom was more than I expected,Business,Trip Verified,4,0,08542341-777d-4c10-b87d-d5b80aead3b1,Boeing,Toronto,Sanford Orlando,0,0,0
105758,Swoop,Economy Class,2022-12-31,2022-10-30,1,1,1,Canada,2.0,no,"Checkin system seats everyone in the back. Upon boarding, the flight is delayed because they have to shuffle passengers to the front of the plane because of a weight imbalance. Safety first right. Just a coincidence how all the front seats are more $$ to sit in then the back and people don’t wana pay to sit in the front so the system seats 90% passengers in the back. So we spend 10 minutes shuffling passengers from the back free seats to the front paid seats then the flight is delayed due to a “airport” issue. Go figure. Profits over safety is the underlying moto for all “low cost” airlines.",3,1,swoop,Checkin system seats everyone in the back,Solo Leisure,Trip Verified,4,1,b6895f03-4a3f-4ff8-9a2d-a00b08744da6,Airbus,Edmonton,Kelowna,1,0,0
105763,Swoop,Economy Class,2022-12-31,2022-10-30,0,0,5,Canada,10.0,yes,My first time traveling with Swoop and the service was amazing. Great customer service and a wonderful pilot who displayed such grace and respect. Thank you for such excellence and looking forward to Travel with you soon.,5,5,swoop,Great customer service,Business,Trip Verified,4,5,f8d9bb82-8972-4f18-a152-55f295298004,Airbus,Toronto,Kingston ,1,1,1
105764,Swoop,Economy Class,2022-12-31,2022-10-29,0,0,1,Canada,1.0,no,"I am gobsmacked by what happened to us. We booked Swoop to go from Victoria to Toronto October 27, 2022. We were planning to go to Kingston for a reunion and return by Air Canada October 20 as that was the flight available so I could get back to work the following day. Our booking involved a rental car, a hotel and a return flight. The outgoing Swoop flight had been changed to two hours later than the original flight, we endured 90 minutes of line ups, stressing us about missing the flight, only to find out the incoming plane would not land due to wind so went to Vancouver instead. No other airline had this problem. They kept us on hold until for another 3 hours whereupon they canceled the flight and rebooked us for the next day. Unfortunately, that would get us to Kingston too late to get to much of what we were going for so we decided to cancel the trip as it seemed we would be spending most of it on a plane. We were able to cancel with Air Canada for the return, the hotel, and the car rental without much problem and get refunds or credits, but not with Swoop the cause of the problem! Furthermore we were unable to contact Swoop at all to cancel, so I had to physically return to the check in at the airport the next day to cancel with the check in agent. Stunningly, Swoop would offer no compensation, unlike all the other providers who had no part in causing this problem! I think that aside from extremely poor business practices this is a sign of a company in financial trouble that is soon to declare bankruptcy as they clearly do not care about PR. My advice is do not book with Swoop - it will cost you more than booking with a reputable airline.",1,1,swoop,it will cost you more than booking with a reputable airline,Business,Trip Verified,1,0,e941997e-68e8-4ab8-a46c-129fe00c082a,Airbus,Victoria,Toronto ,0,0,0
105765,Swoop,Economy Class,2022-12-31,2022-10-21,0,0,5,Canada,10.0,yes,"I read the reviews and they were most negative. Travelled from Toronto to Halifax. My experience was great, the flight was on time, customer service was great, tickets were very reasonable even with paying for seats and baggage. Will travel again.",4,5,swoop,My experience was great,Solo Leisure,Not Verified,5,0,ee032f62-bff0-4310-8b8c-a099413979b4,Boeing,Toronto,Halifax,1,1,1
105766,Swoop,Economy Class,2022-12-31,2022-10-20,0,0,0,Canada,1.0,no,"Paid for ""Modifly"" as they were the only airline flying out of Hamilton to Vegas we wanted to try them for the convenience of the Hamilton airport. Unfortunately 2 days before the trip 2 of the 3 people in our party came down with Covid and as I was also exposed we decided not to go. When I went online to change our flight date we were unable to use the online system despite numerous tries, it kept showing an error code every time we tried to confirm at new date. There is nothing on the web site giving a phone number to call but we found one online which I called and got a message stating they would could not answer but gave an email address or the option to contact on Facebook, twitter. The email bounced back so I messaged on Facebook, to date I have not received a reply. I should be noted that you have to make the change a minimum of 24 hours before the flight and we are now past that time. I did not object to all of the extra charges we used most of them and find I think as long as they are not hidden there should be no objection. I will not book with Swoop again.",0,0,swoop,I will not book with Swoop again,Business,Trip Verified,1,0,82c01658-dc5d-4101-bf76-487ed9d5b083,Airbus,Hamilton,Las Vegas,0,0,0
105767,Swoop,Economy Class,2022-12-31,2022-10-20,0,0,1,Canada,1.0,no,Don't use swoop. Hidden fees everywhere than they do not allow any cancelations without a compete loss of all money. We paid 911$ for a round trip to Vegas. Due to unforeseen obstacles we were unable to make it. We then tried to cancel and they wouldn't cancel or refund anything. Complete waste of 911$ for nothing. I will not ever use swoop or West jet again. As they are the parent company who allows this type of business to operate,1,1,swoop,Hidden fees everywhere,Couple Leisure,Trip Verified,1,0,e8283991-0dcb-42ce-b2eb-7c1c5fd9ffd0,Boeing,Toronto,Las Vegas,0,0,0
